"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_NKCELLS_PATHWAY",17,0.117647058823529,0.294117647058824,"Up",0.3661,0.470635714285714,0.0353,0.0870882352941176
"BIOCARTA_VDR_PATHWAY",22,0.136363636363636,0.409090909090909,"Up",0.2575,0.384337278106509,0.0362,0.0880788461538461
"BIOCARTA_NEUTROPHIL_PATHWAY",8,0.125,0.375,"Up",0.306,0.41901847826087,0.0364,0.0880788461538461
"BIOCARTA_GABA_PATHWAY",10,0.1,0.5,"Up",0.0021,0.070875,0.0371,0.0880811320754717
"BIOCARTA_RELA_PATHWAY",15,0.133333333333333,0.266666666666667,"Up",0.0613,0.203072727272727,0.0369,0.0880811320754717
"BIOCARTA_MAL_PATHWAY",18,0.111111111111111,0.5,"Up",0.0562,0.203072727272727,0.0377,0.0886710280373832
"BIOCARTA_TPO_PATHWAY",25,0.04,0.36,"Up",0.124,0.262905882352941,0.0381,0.0887833333333333
"BIOCARTA_CACAM_PATHWAY",6,0,0.333333333333333,"Up",0.0268,0.188668421052632,0.0397,0.0916678899082569
"BIOCARTA_FMLP_PATHWAY",31,0.0967741935483871,0.354838709677419,"Up",0.0209,0.17761935483871,0.0409,0.0921375
"BIOCARTA_PARKIN_PATHWAY",8,0,0.125,"Up",0.0468,0.198551612903226,0.041,0.0921375
"BIOCARTA_GLEEVEC_PATHWAY",23,0.0869565217391304,0.347826086956522,"Up",0.1234,0.262905882352941,0.0405,0.0921375
"BIOCARTA_RAB_PATHWAY",12,0.0833333333333333,0.333333333333333,"Up",0.0651,0.2058525,0.0429,0.0948644628099174
"BIOCARTA_AT1R_PATHWAY",25,0.12,0.36,"Up",0.0806,0.2303,0.0439,0.0948644628099174
"BIOCARTA_PELP1_PATHWAY",5,0,0.6,"Up",0.1348,0.271656,0.0447,0.0948644628099174
"BIOCARTA_EICOSANOID_PATHWAY",20,0.2,0.1,"Down",0.1426,0.274410687022901,0.045,0.0948644628099174
"BIOCARTA_MTOR_PATHWAY",19,0.0526315789473684,0.368421052631579,"Up",0.1626,0.30033,0.0456,0.0948644628099174
"BIOCARTA_INTEGRIN_PATHWAY",33,0.121212121212121,0.303030303030303,"Up",0.1638,0.30033,0.0448,0.0948644628099174
"BIOCARTA_MET_PATHWAY",33,0.181818181818182,0.333333333333333,"Up",0.2121,0.342542307692308,0.0456,0.0948644628099174
"BIOCARTA_NDKDYNAMIN_PATHWAY",13,0.230769230769231,0.230769230769231,"Up",0.7597,0.832312173913043,0.0445,0.0948644628099174
"BIOCARTA_ATM_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.9125,0.9580725,0.0451,0.0948644628099174
"BIOCARTA_TGFB_PATHWAY",17,0.117647058823529,0.235294117647059,"Up",0.3653,0.470635714285714,0.0463,0.0955327868852459
"BIOCARTA_CDK5_PATHWAY",12,0.166666666666667,0.333333333333333,"Up",0.2904,0.40775,0.0473,0.0968048780487805
"BIOCARTA_41BB_PATHWAY",18,0.166666666666667,0.333333333333333,"Up",0.0402,0.196607547169811,0.0488,0.0984816
"BIOCARTA_RARRXR_PATHWAY",6,0,0.5,"Up",0.0488,0.198551612903226,0.0489,0.0984816
